File	N.modules	Modularity
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.444444	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.080000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	1	0.000000	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
M_IZ_PA_POW_GC1.txt	2	0.218750	
